ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 15:36:50+00:00,194.09,194.09,194.09,194.09,7,1,194.09
2024-06-03 15:36:51+00:00,194.09,194.09,194.09,194.09,232,5,194.09000000000003
2024-06-03 15:36:52+00:00,194.08,194.09,194.08,194.09,182,5,194.08274725274725
2024-06-03 15:36:53+00:00,,,,,0,0,
2024-06-03 15:36:54+00:00,194.11,194.12,194.11,194.12,1140,20,194.11473684210526
2024-06-03 15:36:55+00:00,,,,,0,0,
2024-06-03 15:36:56+00:00,194.13,194.14,194.13,194.14,775,10,194.13432258064518
2024-06-03 15:36:57+00:00,,,,,0,0,
2024-06-03 15:36:58+00:00,194.14,194.14,194.14,194.14,1165,11,194.14
2024-06-03 15:36:59+00:00,,,,,0,0,
2024-06-03 15:37:00+00:00,194.14,194.14,194.13,194.135,901,9,194.1377746947836
2024-06-03 15:37:01+00:00,194.13,194.13,194.12,194.12,552,16,194.1254347826087
2024-06-03 15:37:02+00:00,,,,,0,0,
2024-06-03 15:37:03+00:00,,,,,0,0,
2024-06-03 15:37:04+00:00,,,,,0,0,
2024-06-03 15:37:05+00:00,194.12,194.13,194.12,194.13,390,7,194.12871794871793
2024-06-03 15:37:06+00:00,194.13,194.13,194.13,194.13,100,4,194.13
2024-06-03 15:37:07+00:00,194.12,194.12,194.12,194.12,1,1,194.12
2024-06-03 15:37:08+00:00,194.12,194.12,194.12,194.12,1,1,194.12
2024-06-03 15:37:09+00:00,194.12,194.12,194.11,194.11,799,8,194.1162453066333
2024-06-03 15:37:10+00:00,,,,,0,0,
2024-06-03 15:37:11+00:00,194.11,194.15,194.11,194.15,721,17,194.128959778086
2024-06-03 15:37:12+00:00,194.15,194.16,194.15,194.16,498,8,194.15200803212852
2024-06-03 15:37:13+00:00,,,,,0,0,
2024-06-03 15:37:14+00:00,,,,,0,0,
2024-06-03 15:37:15+00:00,,,,,0,0,
2024-06-03 15:37:16+00:00,194.17,194.18,194.17,194.18,648,12,194.17072530864198
2024-06-03 15:37:17+00:00,,,,,0,0,
2024-06-03 15:37:18+00:00,,,,,0,0,
2024-06-03 15:37:19+00:00,,,,,0,0,
2024-06-03 15:37:20+00:00,194.15,194.18,194.15,194.18,126,3,194.17380952380952
